group,sector,n_stocks,n_with_data,median_rs_rating,price_trend_annualised,composite_score,rank,pct_halal,n_halal,n_questionable,n_haram
FINANCE-SERVICES,FINANCE,10,10,,-0.10847575000952693,-0.18037130546080196,131,0.6,6,4,0
MACHINERY-MATERIAL HANDLING,MACHINERY,7,4,,-0.11257034949167675,-0.18356345693731563,132,1.0,7,0,0
MEDIA-DIVERSIFIED,MEDIA,9,7,,-0.12864531488119993,-0.19609550670842799,133,0.0,0,8,1
CHEMICALS-PAINTS,CHEMICAL,4,4,,-0.13277058780676226,-0.1993115712143126,134,1.0,4,0,0
CHEMICALS-BASIC,CHEMICAL,7,6,,-0.1496025141184508,-0.21243374803836068,135,1.0,7,0,0
TELECOM-CONSUMER PRODUCTS,TELECOM,4,2,,-0.15519473889494492,-0.21679344882352988,136,1.0,4,0,0
CONSUMER SVCS-FUNERAL,CONSUMER,4,3,,-0.1564363217864009,-0.21776138736732475,137,1.0,4,0,0
METAL ORES-DIVERSIFIED,METALS,8,8,,-0.1570182285463883,-0.21821504212188247,138,1.0,8,0,0
COMMERCIAL SVCS-ADVERTISING,BUSINESS_PRODUCTS,6,4,,-0.16046424560961442,-0.22090155847211979,139,1.0,6,0,0
HOUSEHOLD-APPLIANCES & WARES,HOUSEHOLD,5,4,,-0.16560935590200163,-0.2249126886176368,140,1.0,5,0,0
REIT-MORTGAGE,FINANCE,7,7,,-0.1709554102869212,-0.22908047486211297,141,0.0,0,0,7
RETAIL-JEWELRY,RETAIL,3,2,,-0.1739973051867728,-0.231451937404003,142,1.0,3,0,0
ELECTRONIC-SCIENTIFIC INSTR,ELECTRONICS,8,7,,-0.1882325431193799,-0.24254973487679432,143,1.0,8,0,0
RETAIL-HOME FURNISHINGS,RETAIL,9,8,,-0.1976319980583585,-0.24987755389613603,144,1.0,9,0,0
FOOD-MISC PREPARATION,FOOD_BEVERAGE,7,6,,-0.19960722576297588,-0.25141744224449153,145,1.0,7,0,0
INSURANCE-BROKERS,INSURANCE,8,7,,-0.20169962118185214,-0.25304867459210795,146,0.0,0,0,8
TELECOM-SVCS-DOMESTIC,TELECOM,8,5,,-0.2018599596039398,-0.25317367449332917,147,1.0,8,0,0
CONSUMER PRODUCTS-COSMETICS,CONSUMER,6,5,,-0.21103730737128407,-0.2603283386683527,148,1.0,6,0,0
